"fid";"SensorID";"Sensortyp";"magl";"Name";"StartDatum";"EndDatum";"Projekt";"SensorSerial";"N";"E";"masl"
"12";"2624";"DL Atmos-22";"3.3";"Zürich - Waidstrasse 31";"09.06.2021 00:00:00";"28.10.2021 00:00:00";"Kaltluft - Tièchestrasse";"2624";"1250042";"2681844";"443"
"13";"2625";"DL Atmos-22";"2.5";"Zürich - Waidstrasse 5";"09.06.2021 00:00:00";"28.10.2021 00:00:00";"Kaltluft - Tièchestrasse";"2625";"1249836";"2681781";"424"
"14";"2626";"DL Atmos-22";"2.5";"Zürich - Wipkingerpark";"09.06.2021 00:00:00";"28.10.2021 00:00:00";"Kaltluft - Tièchestrasse";"2626";"1249634";"2681712";"402"
"15";"BD-Helix-06";"Barani Helix";"3.2";"Scheuchzerstrasse, Zanggenweg";"10.06.2021 00:00:00";#NV;"Schwammstadt - Scheuchzerstrasse";"2102LH015";"1249490";"2683418";"480"
"16";"BD-Helix-05";"Barani Helix";"3";"Scheuchzerstrasse, Langmauerstrasse";"04.06.2021 00:00:00";"31.01.2022 00:00:00";"Schwammstadt - Scheuchzerstrasse";"2102LH007";"1249564";"2683365";"479"
"17";"BD-Helix-07";"Barani Helix";"2.5";"Stüssistrasse, Langmauerstrasse";"10.06.2021 00:00:00";"01.07.2022 00:00:00";"Schwammstadt - Scheuchzerstrasse";"2102LH029";"1249453";"2683345";"470"
"18";"BD-Wind-01";"Barani Wind";"2.7";"Giessereistrasse";"24.04.2021 00:00:00";#NV;"Kaltluft - Tièchestrasse";"2103LW037";"1249435";"2681323";"402"
"19";"BD-Helix-14";"Barani Helix";"2.8";"Giessereistrasse (R)";"24.04.2021 00:00:00";#NV;"Kaltluft - Tièchestrasse";"2103LH009";"1249412";"2681354";"403"
"20";"BD-Helix-10";"Barani Helix";"1.8";"Giessereistrasse, Links";"04.06.2021 00:00:00";#NV;"Schwammstadt - Giessereistrasse";"2102LH057";"1249416";"2681345";"403"
"21";"BD-Helix-09";"Barani Helix";"1.8";"Giessereistrasse, Mitte";"04.06.2021 00:00:00";"07.02.2023 00:00:00";"Schwammstadt - Giessereistrasse";"2102LH035";"1249406";"2681365";"403"
"22";"BD-Helix-08";"Barani Helix";"1.8";"Giessereistrasse, Rechts";"04.06.2021 00:00:00";#NV;"Schwammstadt - Giessereistrasse";"2102LH034";"1249398";"2681385";"403"
"23";"BD-Helix-01";"Barani Helix";"1.8";"Herrligstrasse Nord";"04.11.2020 00:00:00";"01.12.2021 00:00:00";"Pocketpark";"2010LH005";"1249148";"2678979";"402"
