locationID,sensor,stationID,yCH1903+,xCH1903+,latDecimal,lonDecimal,masl,streetName,poleNumber,distance_to_building_m,shade,LCZ,installationDate,functionCheck,notes
L14,Barani,2401LH038,2683831.0,1247155.0,47.3699,8.54853,423,Rämistrasse,22,5,,2,2024-08-22 11:30:00,,"Baustelle beim Kunsthaus, eingezäunt 22.08.2024"
L17,LoRain,034000ED,2684041.0,1245679.0,47.3566,8.55103,409,Höschgasse,41,20,,5,2019-07-29 12:15:00,,
M1,LoRain,034000D9,2683586.0,1253676.0,47.42857,8.54651,446,Eichrainstrasse,2,35,,9(5),2019-06-19 14:10:00,,"Wurde am 5.11.19 kurz nach dem Mittag entfernt, da der Mast aufgrund einer Baustelle entfernt wurde!"
M1,LoRain,034000D9,2683577.0,1253739.0,47.42914682,8.546402605,446,Eichrainstrasse,5,10,,9(5),2020-02-14 16:10:00,,wieder montiert jedoch ca. 50m weiter nördlich an Eichstrasse
M4,LoRain,03400122,2683751.0,1252206.0,47.41538,8.54842,434,Eisfeldstrasse,7,5,,5(6),2019-06-19 13:25:00,,
M7,LoRain,034000E4,2683936.0,1250666.0,47.40146,8.55058,473,Viktoriastrasse,?09,10,,5(E )	,2019-06-19 11:25:00,,
M10,LoRain,034000DE,2684047.0,1249217.0,47.38841,8.55178,561,Germaniastrasse,17,10,,6,2019-07-29 13:50:00,,
M13,LoRain,03400106,2684185.0,1247735.0,47.37507,8.55332,455,Pestalozzistrasse,11,<5,,5,2019-07-29 14:45:00,,
M16,LoRain,0340011C,2684422.0,1246251.0,47.36169,8.55618,427,Zollikerstrasse,8,<5,,6(5),2019-07-01 13:55:00,,
N3,LoRain,034000F0,2684187.0,1252718.0,47.41988,8.55429,429,Grubenackerstrasse,23,10,,6(5),2019-06-19 13:45:00,,"""Verschiebung um 50m nach Südosten """
N6,LoRain,034000DA,2684405.0,1251275.0,47.40688,8.55691,432,Funkwiesenstrasse,2,10,,6,2019-06-19 11:05:00,,"""Verschiebung an Masten ohne Abschattung (50m nach Nordosten) """
N6,LoRain,0340AA48,2684405.0,1251275.0,47.40688,8.55691,432,Funkwiesenstrasse,2,10,,6,2020-09-25 07:44:00,,"""Verschiebung an Masten ohne Abschattung (50m nach Nordosten) """
N12,LoRain,03400124,2684708.0,1248286.0,47.37996,8.56035,546,Mittelbergsteig,3,10,,5,2019-07-01 16:05:00,,
N15,LoRain,03400123,2684837.0,1246806.0,47.36663,8.56178,450,Asylstrasse/Sonnenhaldenstrasse,,<5,,2(3),2019-07-01 14:15:00,,"""Verschiebung um 50m nach Nordwesten "", Seit Anfang 2021 Batterieproblem, zudem Daten sehr suspekt (viel zu hoch)"
N15,LoRain,0340D1F6,2684837.0,1246806.0,47.36663,8.56178,450,Asylstrasse/Sonnenhaldenstrasse,,<5,,2(3),2021-08-25 13:00:00,,"""Verschiebung um 50m nach Nordwesten "", reboot am 15.03.2023"
N15,Barani,2211LH026,2684837.0,1246806.0,47.36663,8.56178,450,Asylstrasse/Sonnenhaldenstrasse,,<5,,2(3),2023-03-16 12:00:00,,LoRain ersetzt durch Barani
N18,LoRain,03400127,2685131.0,1245253.0,47.35263,8.56538,454,Südstrasse,15,15,,9,2019-07-01 12:30:00,,"""Verschiebung um 90m nach Südosten """
O5,LoRain,034000F7,2684792.0,1251817.0,47.4117,8.56214,429,Unterfeldstrasse,9,10,,5,2019-06-19 10:50:00,,
O5,LoRain,034000D5,2684792.0,1251817.0,47.4117,8.56214,429,Unterfeldstrasse,9,10,,5,2020-06-22 10:15:00,,
O14,LoRain,03400103,2685360.0,1247295.0,47.37096,8.5688,529,Sonnenbergstrasse,35,5,,6,2019-07-01 14:40:00,,Am 15.03.2023 entfernt.
